Briefs Underwear
Coat Over-wear
Belt Leather
Cravat Beautiful
Hat Head-wear
Suit Sharp
Overalls Denim
Pajamas Comfy
Underwear Comfy
Bra Supportive
Boxers Plaid
Boots Durable
Scarf Warm
Slippers Comfy
Gloves Leather
Lingerie Silk
Tie Silk
Dinner-Jacket Fancy
T-Shirt Breathable
Blouse Silk
Knickers Cotton
Poncho Polyester
Tights Comfy
Camisole Comfy
Dress Pretty
Hoody Fluffy
Jacket Warm
Waistcoat Fancy
Cummerbund Nice
Sandals Durable
Stockings Warm
Tracksuit Breathable
Shirt Tough
Top Pretty
Shorts Swimming
Shoes Dress
Bow-Tie Red
Cargos Durable
Cowbell Brass
Symbols Brass
Crystal-Glasses Clear
Tambourine Shiny
Bass-Guitar Quality
Oboe Air
Trombone Air
Tuba Air
Snare-Drum Cow-skin
Vocals Sheet-Music
Clarinet Wind
Whistle Shiny
Saxophone Wind
Acoustic-Guitar Wood
Steel-Drums Mediterranean
Fiddle Violin
Violin Fiddle
Harmonica Wind
Viola String
Ukulele String
Steel-Pan Percussive
Banjo String
Stylophone Percussive
Recorder Wind
Drums Kit
Piano String
Keyboard Electric
Guitar Electric
Spoons Silver
Turntables Electronic
Trumpet Wind
Vibraphone Tech
Bagpipes Wind
Accordion Wind
Bells Percussive
Maracas Percussive
Piccolo Air
Bamboo-Flute Air
French-Horn Air
Organ Pipe
Shakers Percussive
Flute Air
Voice Beautiful
Xylophone Percussive
Zither Nice
